epoch,sequence_number,network_total_transactions,content_digest,computation_cost,storage_cost,storage_rebate,non_refundable_storage_fee,timestamp_ms,transactions
12,1000104,155439652,EJXKwGCCnac8kQTDSP29bE3Y86SgJFbv8eTZyC7gcbqz,10599294248892,22048707418800,11961124758000,120819442000,1684836701161,149
12,1000103,155439503,7WtJrbeUYLm5YM4Fgctt81ZAhR82qgT2nkjz35dc52KX,10599146248892,22048365335200,11960904831480,120817220520,1684836700182,147
12,1000105,155439824,EattUFbgthkCifpbq3tzxqwWk3QLvD5pYeYBp2E1umk,10599465248892,22049060347600,11961314076888,120821354312,1684836702180,172
12,1000106,155439962,8bejEYQ7mZkkMaEeUDCUo2cZiWib36p6jgeDrYppUNRE,10599621248892,22049357500000,11961467709444,120822906156,1684836703146,138
12,1000109,155440412,CKFvretDZcSYVRGorCamfkhzdeQj761U3dHWZ1w76W4w,10600068248892,22050289556400,11961978288084,120828063516,1684836706162,151
12,1000108,155440261,FRCtTryXhqSHwyw1jhVRoWAFhz8gkgzJRcn9Y4KedUac,10599918248892,22049956577600,11961775817244,120826018356,1684836705172,144
12,1000112,155440861,4Kp67aRW44Q1o9M2NgjufYiTW8t18cvRCDJRfYVXSCp3,10600514248892,22051207484400,11962468326204,120833013396,1684836709180,144
12,1000110,155440574,EaKZgoxVxXDD2EF7gaDM7R2rorRsCoP6vJtqRAwBmVdf,10600229248892,22050619898000,11962154349684,120829841916,1684836707225,162
12,1000111,155440717,HnkTNdHpZqdhq4Ry6ToPQqt5EFQLG9kAjyooyP6MMMho,10600371248892,22050924916400,11962328455044,120831600556,1684836708154,143
12,1000114,155441146,BothjYbRcbX7maGbSK734MwfXGAnUfM9xSdREpjtYUFd,10600797248892,22051789606400,11962772927820,120836090180,1684836711185,141
12,1000117,155441594,BXz1aqg43FZedb1hfDsbsTr6DVmrW3HYbd23d32hDkAB,10601261248892,22052726108800,11963283581700,120841248300,1684836714136,159
